61,5;0:00.090;a cpu;7,1;0:00.020;d cpu;15,4;0:00.030;g cpu;6,7;0:00.020;j cpu
100;0:00.210;b time;100;0:00.160;e time;92,3;0:00.150;h time;92,9;0:00.150;k time
100;0:00.340;LEFT;69,2;0:00.250;LEFT;92,9;0:00.280;LEFT;93,3;0:00.290;LEFT
91,7;0:00.450;PARDUS;92,3;0:00.370;PARDUS;84,6;0:00.390;UBUNTU;75;0:00.410;UBUNTU
100;0:00.580;GPOS;91,7;0:00.480;RTOS;100;0:00.520;GPOS;115,4;0:00.560;RTOS
100;0:00.700;;92,3;0:00.600;;107,7;0:00.660;;93,8;0:00.710;
100;0:00.830;;92,3;0:00.720;;92,9;0:00.790;;93,3;0:00.850;
100;0:00.950;;107,7;0:00.860;;100;0:00.920;;93,3;0:00.990;
84,6;0:01.060;;107,7;0:01.000;;92,3;0:01.040;;107,7;0:01.130;
91,7;0:01.170;;85,7;0:01.120;;85,7;0:01.160;;78,6;0:01.240;
75;0:01.260;;78,6;0:01.230;;46,2;0:01.220;;53,3;0:01.320;
53,8;0:01.330;;38,5;0:01.280;;66,7;0:01.320;;86,7;0:01.450;
100;0:01.450;;100;0:01.410;;92,3;0:01.440;;71,4;0:01.550;
108,3;0:01.580;;100;0:01.540;;30,8;0:01.480;;20;0:01.580;
100;0:01.700;;100;0:01.670;;7,7;0:01.490;;6,2;0:01.590;
100;0:01.830;;100;0:01.800;;7,7;0:01.500;;6,7;0:01.600;
76,9;0:01.930;;61,5;0:01.880;;7,7;0:01.510;;7,1;0:01.610;
25;0:01.960;;23,1;0:01.910;;15,4;0:01.530;;6,2;0:01.620;
6,7;0:01.970;;7,7;0:01.920;;7,7;0:01.540;;7,1;0:01.630;
7,7;0:01.980;;7,1;0:01.930;;7,1;0:01.550;;6,7;0:01.640;
8,3;0:01.990;;15,4;0:01.950;;7,7;0:01.560;;6,7;0:01.650;
7,7;0:02.000;;14,3;0:01.970;;7,1;0:01.570;;7,1;0:01.660;
7,7;0:02.010;;7,1;0:01.980;;7,7;0:01.580;;6,7;0:01.670;
8,3;0:02.020;;7,7;0:01.990;;7,7;0:01.590;;7,1;0:01.680;
7,7;0:02.030;;15,4;0:02.010;;7,1;0:01.600;;7,1;0:01.690;
16,7;0:02.050;;14,3;0:02.030;;7,1;0:01.610;;7,1;0:01.700;
7,7;0:02.060;;7,7;0:02.040;;7,1;0:01.620;;7,1;0:01.710;
8,3;0:02.070;;7,7;0:02.050;;6,2;0:01.630;;7,1;0:01.720;
8,3;0:02.080;;7,7;0:02.060;;7,1;0:01.640;;6,7;0:01.730;
7,7;0:02.090;;7,1;0:02.070;;7,7;0:01.650;;7,1;0:01.740;
8,3;0:02.100;;7,7;0:02.080;;7,1;0:01.660;;6,7;0:01.750;
7,7;0:02.110;;7,7;0:02.090;;6,7;0:01.670;;6,7;0:01.760;
8,3;0:02.120;;7,7;0:02.100;;7,7;0:01.680;;5,3;0:01.770;
7,7;0:02.130;;7,7;0:02.110;;7,1;0:01.690;;6,2;0:01.780;
8,3;0:02.140;;7,7;0:02.120;;15,4;0:01.710;;7,1;0:01.790;
